CouncillorName;Fraktion
Addor Jean-Luc;SVP
Aebi Andreas;SVP
Aebischer Matthias;SP
Amaudruz Céline;SVP
Ammann Thomas;CVP
Arslan Sibel;G
Badran Jacqueline;SP
Barrile Angelo;SP
Bauer Philippe;FDP
Bäumle Martin;GL
Béglé Claude;CVP
Bertschy Kathrin;GL
Bigler Hans-Ulrich;FDP
Birrer-Heimo Prisca;SP
Bourgeois Jacques;FDP
Brand Heinz;SVP
Brélaz Daniel;G
Buffat Michaël;SVP
Bühler Manfred;SVP
Bulliard-Marbach Christine;CVP
Burgherr Thomas;SVP
Burkart Thierry;FDP
Campell Duri;BDP
Candinas Martin;CVP
Carobbio Guscetti Marina;SP
Chevalley Isabelle;GL
Chiesa Marco;SVP
de Courten Thomas;SVP
de la Reussille Denis;G
Dettling Marcel;SVP
Dobler Marcel;FDP
Estermann Yvette;SVP
Eymann Christoph;FDP
Fehlmann Rielle Laurence;SP
Feri Yvonne;SP
Fiala Doris;FDP
Flach Beat;GL
Fluri Kurt;FDP
Frehner Sebastian;SVP
Fridez Pierre-Alain;SP
Friedl Claudia;SP
Geissbühler Andrea Martina;SVP
Girod Bastien;G
Glanzmann-Hunkeler Ida;CVP
Glarner Andreas;SVP
Glättli Balthasar;G
Gmür Alois;CVP
Gmür-Schönenberger Andrea;CVP
Golay Roger;SVP
Gössi Petra;FDP
Graf Maya;G
Graf-Litscher Edith;SP
Grin Jean-Pierre;SVP
Grossen Jürg;GL
Grunder Hans;BDP
Grüter Franz;SVP
Gschwind Jean-Paul;CVP
Guhl Bernhard;BDP
Gysi Barbara;SP
Hadorn Philipp;SP
Hardegger Thomas;SP
Heer Alfred;SVP
Herzog Verena;SVP
Hess Erich;SVP
Hess Lorenz;BDP
Humbel Ruth;CVP
Hurter Thomas;SVP
Imark Christian;SVP
Jans Beat;SP
Jauslin Matthias Samuel;FDP
Keller-Inhelder Barbara;SVP
Knecht Hansjörg;SVP
Landolt Martin;BDP
Lohr Christian;CVP
Lüscher Christian;FDP
Markwalder Christa;FDP
Marra Ada;SP
Marti Min Li;SP
Masshardt Nadine;SP
Matter Thomas;SVP
Mazzone Lisa;G
Meyer Mattea;SP
Moser Tiana Angelina;GL
Müller Leo;CVP
Müller-Altermatt Stefan;CVP
Munz Martina;SP
Müri Felix;SVP
Naef Martin;SP
Nantermod Philippe;FDP
Nicolet Jacques;SVP
Nidegger Yves;SVP
Nordmann Roger;SP
Nussbaumer Eric;SP
Page Pierre-André;SVP
Pantani Roberta;LEGA
Pardini Corrado;SP
Pieren Nadja;SVP
Piller Carrard Valérie;SP
Portmann Hans-Peter;FDP
Quadranti Rosmarie;BD
Quadri Lorenzo;SVP
Regazzi Fabio;CVP
Reimann Lukas;SVP
Reimann Maximilian;SVP
Reynard Mathias;SP
Riklin Kathy;CVP
Rime Jean-François;SVP
Ritter Markus;CVP
Romano Marco;CVP
Rösti Albert;SVP
Ruppen Franz;SVP
Rutz Gregor;SVP
Rytz Regula;G
Salzmann Werner;SVP
Sauter Regine;FDP
Schilliger Peter;FDP
Schneeberger Daniela;FDP
Schneider-Schneiter Elisabeth;CVP
Schwander Pirmin;SVP
Seiler Graf Priska;SP
Sollberger Sandra;SVP
Steinemann Barbara;SVP
Streiff-Feller Marianne;EVP
Thorens Goumaz Adèle;G
Vitali Albert;FDP
Vogt Hans-Ueli;SVP
von Siebenthal Erich;SVP
Walliser Bruno;SVP
Walti Beat;FDP
Wasserfallen Christian;FDP
Wehrli Laurent;FDP
Wermuth Cédric;SP
Wobmann Walter;SVP
Zanetti Claudio;SVP
