"";"yes";"no"
"1";0;1
"2";1;0
"3";0;1
"4";1;0
"5";1;0
"6";0;1
"7";0;1
"8";0;1
"9";1;0
"10";0;1
"11";0;1
"12";1;0
"13";1;0
"14";1;0
"15";1;0
"16";1;0
"17";0;1
"18";0;1
"19";1;0
"20";0;1
"21";1;0
"22";0;1
"23";1;0
"24";1;0
"25";1;0
"26";1;0
"27";1;0
"28";0;1
"29";1;0
"30";0;1
"31";1;0
"32";0;1
"33";1;0
"34";1;0
"35";0;1
"36";1;0
"37";1;0
"38";1;0
"39";1;0
"40";0;1
"41";1;0
"42";0;1
"43";0;1
"44";1;0
"45";1;0
"46";0;1
"47";1;0
"48";0;1
"49";0;1
"50";1;0
"51";1;0
"52";0;1
"53";1;0
"54";0;1
"55";1;0
"56";1;0
"57";0;1
"58";1;0
"59";1;0
"60";1;0
