"";"yes";"no"
"1";0;1
"2";0;1
"3";0;1
"4";1;0
"5";0;1
"6";0;1
"7";1;0
"8";1;0
"9";1;0
"10";1;0
"11";0;1
"12";1;0
"13";0;1
"14";0;1
"15";0;1
"16";0;1
"17";1;0
"18";0;1
"19";0;1
"20";0;1
"21";0;1
"22";0;1
"23";0;1
"24";0;1
"25";0;1
"26";0;1
"27";0;1
"28";0;1
"29";1;0
"30";0;1
"31";1;0
"32";0;1
"33";0;1
"34";0;1
"35";1;0
"36";1;0
"37";1;0
"38";0;1
"39";0;1
"40";0;1
"41";0;1
"42";0;1
"43";0;1
"44";1;0
"45";1;0
"46";1;0
"47";0;1
"48";1;0
"49";0;1
"50";0;1
"51";0;1
"52";0;1
"53";0;1
"54";0;1
"55";1;0
"56";1;0
"57";0;1
"58";1;0
"59";0;1
"60";0;1
