"";"yes";"no"
"1";1;0
"2";1;0
"3";0;1
"4";0;1
"5";1;0
"6";0;1
"7";1;0
"8";1;0
"9";0;1
"10";1;0
"11";1;0
"12";0;1
"13";0;1
"14";0;1
"15";0;1
"16";1;0
"17";0;1
"18";1;0
"19";0;1
"20";0;1
"21";1;0
"22";1;0
"23";1;0
"24";1;0
"25";1;0
"26";1;0
"27";1;0
"28";0;1
"29";1;0
"30";0;1
"31";1;0
"32";0;1
"33";0;1
"34";1;0
"35";0;1
"36";1;0
"37";1;0
"38";0;1
"39";1;0
"40";1;0
"41";1;0
"42";0;1
"43";1;0
"44";1;0
"45";1;0
"46";1;0
"47";1;0
"48";0;1
"49";0;1
"50";1;0
"51";1;0
"52";0;1
"53";0;1
"54";0;1
"55";1;0
"56";1;0
"57";0;1
"58";0;1
"59";1;0
"60";1;0
