"";"yes";"no"
"1";0;1
"2";1;0
"3";0;1
"4";1;0
"5";1;0
"6";0;1
"7";1;0
"8";1;0
"9";1;0
"10";0;1
"11";0;1
"12";0;1
"13";0;1
"14";1;0
"15";1;0
"16";0;1
"17";1;0
"18";0;1
"19";1;0
"20";1;0
"21";0;1
"22";0;1
"23";0;1
"24";0;1
"25";0;1
"26";0;1
"27";1;0
"28";0;1
"29";0;1
"30";0;1
"31";1;0
"32";0;1
"33";1;0
"34";1;0
"35";0;1
"36";0;1
"37";1;0
"38";1;0
"39";1;0
"40";0;1
"41";1;0
"42";1;0
"43";1;0
"44";1;0
"45";1;0
"46";0;1
"47";0;1
"48";0;1
"49";0;1
"50";0;1
"51";0;1
"52";1;0
"53";0;1
"54";0;1
"55";1;0
"56";1;0
"57";0;1
"58";1;0
"59";0;1
"60";0;1
