"";"yes";"no"
"1";1;0
"2";1;0
"3";1;0
"4";1;0
"5";0;1
"6";0;1
"7";1;0
"8";1;0
"9";1;0
"10";0;1
"11";1;0
"12";1;0
"13";0;1
"14";1;0
"15";1;0
"16";1;0
"17";0;1
"18";1;0
"19";0;1
"20";0;1
"21";1;0
"22";1;0
"23";1;0
"24";1;0
"25";1;0
"26";1;0
"27";1;0
"28";1;0
"29";1;0
"30";0;1
"31";1;0
"32";0;1
"33";0;1
"34";1;0
"35";0;1
"36";0;1
"37";1;0
"38";0;1
"39";1;0
"40";1;0
"41";1;0
"42";0;1
"43";1;0
"44";0;1
"45";1;0
"46";1;0
"47";1;0
"48";1;0
"49";1;0
"50";1;0
"51";1;0
"52";0;1
"53";1;0
"54";1;0
"55";1;0
"56";1;0
"57";0;1
"58";1;0
"59";1;0
"60";1;0
