"";"yes";"no"
"1";0;1
"2";1;0
"3";0;1
"4";1;0
"5";0;1
"6";0;1
"7";1;0
"8";0;1
"9";1;0
"10";0;1
"11";1;0
"12";1;0
"13";0;1
"14";1;0
"15";0;1
"16";0;1
"17";0;1
"18";0;1
"19";0;1
"20";0;1
"21";0;1
"22";1;0
"23";1;0
"24";0;1
"25";1;0
"26";0;1
"27";0;1
"28";0;1
"29";0;1
"30";0;1
"31";1;0
"32";0;1
"33";1;0
"34";1;0
"35";1;0
"36";0;1
"37";1;0
"38";1;0
"39";1;0
"40";1;0
"41";1;0
"42";1;0
"43";1;0
"44";1;0
"45";0;1
"46";0;1
"47";0;1
"48";0;1
"49";0;1
"50";0;1
"51";0;1
"52";0;1
"53";0;1
"54";1;0
"55";1;0
"56";1;0
"57";0;1
"58";1;0
"59";0;1
"60";1;0
