"";"yes";"no"
"1";0;1
"2";1;0
"3";1;0
"4";1;0
"5";1;0
"6";0;1
"7";0;1
"8";1;0
"9";1;0
"10";0;1
"11";1;0
"12";1;0
"13";0;1
"14";0;1
"15";1;0
"16";0;1
"17";1;0
"18";0;1
"19";1;0
"20";1;0
"21";0;1
"22";0;1
"23";1;0
"24";1;0
"25";1;0
"26";1;0
"27";1;0
"28";1;0
"29";1;0
"30";0;1
"31";0;1
"32";0;1
"33";1;0
"34";0;1
"35";1;0
"36";1;0
"37";1;0
"38";1;0
"39";1;0
"40";1;0
"41";1;0
"42";1;0
"43";0;1
"44";0;1
"45";1;0
"46";0;1
"47";1;0
"48";1;0
"49";1;0
"50";1;0
"51";0;1
"52";1;0
"53";0;1
"54";0;1
"55";1;0
"56";1;0
"57";0;1
"58";0;1
"59";0;1
"60";0;1
