"";"yes";"no"
"1";1;0
"2";1;0
"3";0;1
"4";1;0
"5";0;1
"6";1;0
"7";1;0
"8";1;0
"9";1;0
"10";0;1
"11";1;0
"12";1;0
"13";0;1
"14";0;1
"15";0;1
"16";1;0
"17";0;1
"18";1;0
"19";0;1
"20";0;1
"21";1;0
"22";1;0
"23";1;0
"24";0;1
"25";1;0
"26";0;1
"27";0;1
"28";0;1
"29";1;0
"30";0;1
"31";1;0
"32";0;1
"33";1;0
"34";0;1
"35";1;0
"36";0;1
"37";1;0
"38";1;0
"39";1;0
"40";0;1
"41";1;0
"42";0;1
"43";0;1
"44";1;0
"45";1;0
"46";1;0
"47";1;0
"48";1;0
"49";1;0
"50";1;0
"51";0;1
"52";0;1
"53";0;1
"54";0;1
"55";1;0
"56";1;0
"57";0;1
"58";1;0
"59";0;1
"60";1;0
