"";"yes";"no"
"1";1;0
"2";1;0
"3";0;1
"4";1;0
"5";1;0
"6";0;1
"7";0;1
"8";1;0
"9";1;0
"10";0;1
"11";1;0
"12";0;1
"13";0;1
"14";1;0
"15";0;1
"16";0;1
"17";0;1
"18";0;1
"19";0;1
"20";0;1
"21";1;0
"22";0;1
"23";0;1
"24";0;1
"25";0;1
"26";0;1
"27";1;0
"28";0;1
"29";1;0
"30";0;1
"31";1;0
"32";0;1
"33";0;1
"34";0;1
"35";0;1
"36";1;0
"37";1;0
"38";1;0
"39";0;1
"40";0;1
"41";1;0
"42";1;0
"43";0;1
"44";1;0
"45";1;0
"46";1;0
"47";0;1
"48";1;0
"49";0;1
"50";0;1
"51";0;1
"52";0;1
"53";1;0
"54";0;1
"55";1;0
"56";1;0
"57";0;1
"58";1;0
"59";0;1
"60";0;1
