"";"yes";"no"
"1";1;0
"2";1;0
"3";0;1
"4";1;0
"5";1;0
"6";1;0
"7";1;0
"8";0;1
"9";1;0
"10";0;1
"11";1;0
"12";1;0
"13";0;1
"14";1;0
"15";0;1
"16";0;1
"17";1;0
"18";0;1
"19";1;0
"20";1;0
"21";0;1
"22";0;1
"23";0;1
"24";0;1
"25";0;1
"26";0;1
"27";1;0
"28";1;0
"29";1;0
"30";0;1
"31";1;0
"32";0;1
"33";1;0
"34";1;0
"35";1;0
"36";1;0
"37";0;1
"38";1;0
"39";0;1
"40";0;1
"41";0;1
"42";1;0
"43";0;1
"44";1;0
"45";1;0
"46";0;1
"47";0;1
"48";1;0
"49";0;1
"50";0;1
"51";0;1
"52";1;0
"53";0;1
"54";0;1
"55";1;0
"56";1;0
"57";0;1
"58";1;0
"59";0;1
"60";0;1
