"";"yes";"no"
"1";1;0
"2";1;0
"3";0;1
"4";1;0
"5";0;1
"6";1;0
"7";0;1
"8";0;1
"9";0;1
"10";0;1
"11";1;0
"12";0;1
"13";0;1
"14";1;0
"15";0;1
"16";0;1
"17";0;1
"18";0;1
"19";0;1
"20";0;1
"21";1;0
"22";1;0
"23";1;0
"24";1;0
"25";0;1
"26";0;1
"27";0;1
"28";1;0
"29";0;1
"30";0;1
"31";1;0
"32";0;1
"33";0;1
"34";1;0
"35";0;1
"36";0;1
"37";1;0
"38";0;1
"39";0;1
"40";1;0
"41";1;0
"42";1;0
"43";1;0
"44";1;0
"45";1;0
"46";0;1
"47";0;1
"48";1;0
"49";0;1
"50";1;0
"51";0;1
"52";0;1
"53";1;0
"54";0;1
"55";1;0
"56";1;0
"57";0;1
"58";1;0
"59";0;1
"60";0;1
