"";"yes";"no"
"1";1;0
"2";0;1
"3";0;1
"4";1;0
"5";1;0
"6";0;1
"7";1;0
"8";0;1
"9";0;1
"10";0;1
"11";0;1
"12";0;1
"13";0;1
"14";1;0
"15";0;1
"16";0;1
"17";1;0
"18";0;1
"19";1;0
"20";1;0
"21";0;1
"22";0;1
"23";1;0
"24";0;1
"25";0;1
"26";1;0
"27";1;0
"28";0;1
"29";1;0
"30";0;1
"31";1;0
"32";0;1
"33";1;0
"34";1;0
"35";0;1
"36";1;0
"37";1;0
"38";0;1
"39";0;1
"40";0;1
"41";0;1
"42";1;0
"43";1;0
"44";1;0
"45";0;1
"46";0;1
"47";0;1
"48";0;1
"49";0;1
"50";0;1
"51";0;1
"52";1;0
"53";1;0
"54";0;1
"55";1;0
"56";1;0
"57";0;1
"58";1;0
"59";0;1
"60";0;1
