"";"yes";"no"
"1";0;1
"2";0;1
"3";0;1
"4";1;0
"5";0;1
"6";1;0
"7";0;1
"8";0;1
"9";0;1
"10";0;1
"11";1;0
"12";0;1
"13";0;1
"14";0;1
"15";0;1
"16";0;1
"17";0;1
"18";0;1
"19";1;0
"20";0;1
"21";0;1
"22";1;0
"23";1;0
"24";1;0
"25";0;1
"26";0;1
"27";1;0
"28";0;1
"29";1;0
"30";0;1
"31";0;1
"32";0;1
"33";0;1
"34";1;0
"35";0;1
"36";0;1
"37";0;1
"38";1;0
"39";1;0
"40";1;0
"41";1;0
"42";1;0
"43";0;1
"44";0;1
"45";0;1
"46";0;1
"47";0;1
"48";0;1
"49";0;1
"50";1;0
"51";0;1
"52";0;1
"53";0;1
"54";0;1
"55";1;0
"56";1;0
"57";0;1
"58";1;0
"59";0;1
"60";1;0
