"";"yes";"no"
"1";1;0
"2";1;0
"3";1;0
"4";1;0
"5";0;1
"6";1;0
"7";1;0
"8";1;0
"9";0;1
"10";0;1
"11";0;1
"12";0;1
"13";0;1
"14";1;0
"15";1;0
"16";1;0
"17";0;1
"18";0;1
"19";1;0
"20";0;1
"21";0;1
"22";0;1
"23";1;0
"24";0;1
"25";1;0
"26";0;1
"27";0;1
"28";0;1
"29";1;0
"30";0;1
"31";1;0
"32";0;1
"33";0;1
"34";1;0
"35";1;0
"36";1;0
"37";1;0
"38";1;0
"39";1;0
"40";1;0
"41";1;0
"42";1;0
"43";0;1
"44";0;1
"45";1;0
"46";0;1
"47";0;1
"48";0;1
"49";0;1
"50";1;0
"51";0;1
"52";0;1
"53";0;1
"54";0;1
"55";1;0
"56";1;0
"57";0;1
"58";1;0
"59";1;0
"60";1;0
